type,orderID,address,city_province_zip,effective_date,municipality_district,structure_type,year_built,gla,num_beds,num_baths,condition,sale_price,sale_date,distance_to_subject,distance_km,num_baths_numeric
comp,4762597,930 Amberdale Cres,Kingston ON K7M 6V1,,,Townhouse,49.0,1044.0,3.0,2:0,Superior,378900.0,2024-10-25,0.15 KM,0.15,2.0
comp,4762597,771 Ashwood Dr,Kingston ON K7M 6X7,,,Townhouse,49.0,1044.0,3.0,1:0,Inferior,327000.0,2025-02-05,0.02 KM,0.02,1.0
comp,4762597,995 Amberdale Cres,Kingston ON K7M 6X6,,,Townhouse,49.0,1044.0,3.0,2:0,Inferior,315000.0,2025-02-14,0.09 KM,0.09,2.0
property,4762597,463 Conservatory Dr,"Kingston, Ontario, K7M 9C8",,,Detached,,1500.0,3.0,3:0,,674000.0,,,,3.0
property,4762597,463 Conservatory Drive,"Kingston, Ontario, K7M 9C8",,,"Detached, 2-Storey",,1750.0,3.0,0:0,,674000.0,,,,0.0
property,4762597,311 Janette St,"Kingston, Ontario, K7P 0K8",,,Freehold Townhouse,,1500.0,3.0,4:0,,585000.0,,,,4.0
property,4762597,311 Janette Street,"Kingston, Ontario, K7P 0K8",,,"Freehold Townhouse, 2-Storey",,1300.0,3.0,0:0,,585000.0,,,,0.0
property,4762597,4056 Bath Rd,"Kingston, Ontario, K7M 4Y4",,,Rural Resid,,,4.0,4:0,,685000.0,,,,4.0
property,4762597,786 HIGH GATE PARK Dr,"Kingston, Ontario, K7M 5Z8",,,Detached,,1300.0,3.0,2:0,,495000.0,,,,2.0
property,4762597,786 HIGH GATE PARK Drive,"Kingston, Ontario, K7M 5Z8",,,"Detached, Sidesplit 3",,1300.0,3.0,0:0,,495000.0,,,,0.0
property,4762597,784 Downing St,"Kingston, Ontario, K7M 5N2",,,Detached,,1250.0,5.0,2:0,,567500.0,,,,2.0
property,4762597,784 Downing Street,"Kingston, Ontario, K7M 5N2",,,"Detached, Sidesplit 4",,1300.0,4.0,0:0,,567500.0,,,,0.0
property,4762597,593 Roosevelt Dr,"Kingston, Ontario, K7M 8T7",,,Detached,,1880.0,4.0,3:0,,681000.0,,,,3.0
property,4762597,593 Roosevelt Drive,"Kingston, Ontario, K7M 8T7",,,"Detached, Bungalow",,1817.0,4.0,0:0,,681000.0,,,,0.0
property,4762597,657 Gwen Ave,"Kingston, Ontario, K7P 0M2",,,Detached,,2000.0,4.0,3:1,,807000.0,,,,3.5
